schid,x2schoolcli,c2caseload,Freq,stu_id,x1txmth,x1txmsem,x1txmscr,x1txmtscor,x1ses,x2txmth,x2txmsem,x2txmscr,x2x1txmscr,x2txmtscor,x2ses,x1schoolcli,x1coupertea,x1coupercou,x1couperpri,c2numgrads
1,1.14,40,32,11428,-0.0914,0.2577,38.8287,49.801,-0.2739,0.9951,0.3065,72.2476,53.3332,53.9578,-0.2229,1.25,0.52,-0.15,0,NA
1,1.14,40,32,15268,0.4593,0.2414,46.0014,55.5187,0.5002,0.7286,0.3477,67.7911,63.1911,51.6074,1.2859,1.25,0.52,-0.15,0,210
1,1.14,40,32,17089,1.0707,0.2296,53.3515,61.8654,1.2984,2.0108,0.2684,89.6788,73.5076,62.9138,0.6818,1.25,0.52,-0.15,0,320
1,1.14,40,32,33372,-0.7664,0.2844,28.757,42.7937,-0.2637,0.0546,0.3984,56.0201,40.8386,45.6638,1.4003,1.25,0.52,-0.15,0,400
1,1.14,40,32,20434,0.0336,0.257,40.5703,51.099,-0.3699,1.1046,0.311,74.0741,55.638,54.923,0.0237,1.25,0.52,-0.15,0,110
1,1.14,40,32,21663,-0.2433,0.2537,36.5969,48.2248,1.3607,0.5136,0.3418,64.1303,50.4687,49.7118,1.389,1.25,0.52,-0.15,0,120
1,1.14,40,32,12232,0.3169,0.2371,44.2399,54.0406,0.0042,0.9937,0.2654,72.2231,60.7028,53.9449,-0.1633,1.25,0.52,-0.15,0,200
1,1.14,40,32,33414,1.6374,0.224,59.9344,67.7485,0.3184,1.9798,0.2563,89.165,83.2102,62.6411,0.7512,1.25,0.52,-0.15,0,300
1,1.14,40,32,10583,0.5879,0.2331,47.5699,56.8533,-0.0373,1.4417,0.2165,79.7893,65.4046,57.8957,-0.9603,1.25,0.52,-0.15,0,450
1,1.14,40,32,13925,0.1427,0.2562,42.0201,52.2313,0.1653,1.2732,0.2776,76.9079,57.6085,56.4095,0.7214,1.25,0.52,-0.15,0,NA
1,1.14,40,32,12189,-1.5498,0.2887,20.4625,34.662,0.4073,0.1974,0.3804,58.5863,30.7798,46.923,0.4768,1.25,0.52,-0.15,0,NA
1,1.14,40,32,19511,-0.5068,0.29,32.5529,45.4894,-0.0748,0.315805912,NA,NA,NA,NA,NA,1.25,0.52,-0.15,0,90
1,1.14,40,32,18422,1.0508,0.2585,53.1159,61.6589,0.5098,1.4676,0.2156,80.2383,73.1756,58.1244,1.194,1.25,0.52,-0.15,0,425
1,1.14,40,32,28395,-1.2656,0.2746,22.9588,37.6118,-0.8522,0.9265,0.2922,71.1041,33.8028,53.3529,-0.8339,1.25,0.52,-0.15,0,250
1,1.14,40,32,24846,-1.1159,0.2553,24.5016,39.166,-0.2174,-0.3204,0.3339,48.9967,35.6738,42.3574,-0.2122,1.25,0.52,-0.15,0,300
1,1.14,40,32,14372,0.685,0.2276,48.745,57.8615,1.1212,0.9645,0.3162,71.7372,67.0553,53.6878,1.2417,1.25,0.52,-0.15,0,NA
1,1.14,40,32,28984,0.2125,0.2608,42.9215,52.9567,0.4797,0.954,0.339,71.5621,58.8558,53.5952,0.9253,1.25,0.52,-0.15,0,100
1,1.14,40,32,32366,-0.2988,0.2872,35.7549,47.6484,0.5771,-0.1657,0.3088,51.9397,49.4089,43.721,-1.0528,1.25,0.52,-0.15,0,600
1,1.14,40,32,21612,-0.7179,0.2055,29.4296,43.2979,-0.2547,-0.6279,0.4641,43.2284,41.6544,39.6455,0.5297,1.25,0.52,-0.15,0,280
1,1.14,40,32,20776,0.7437,0.28,49.4517,58.4707,1.179,1.9885,0.2544,89.3094,68.045,62.7174,0.8102,1.25,0.52,-0.15,0,200
1,1.14,40,32,10380,NA,NA,39.76554639,NA,NA,0.8255,0.2912,69.4172,NA,52.4619,0.0341,1.25,0.52,-0.15,0,240
1,1.14,40,32,22122,-0.8962,0.2153,27.0608,41.4469,-0.5444,-0.0705,0.3872,53.7231,38.7806,44.5607,-0.0543,1.25,0.52,-0.15,0,450
1,1.14,40,32,22115,0.8555,0.2451,50.7918,59.6314,0.8137,0.465,0.3343,63.2895,69.9186,49.2829,1.5509,1.25,0.52,-0.15,0,50
1,1.14,40,32,13452,-0.7892,0.2153,28.4492,42.5577,-0.4302,0.7498,0.3305,68.1481,40.4652,51.7945,-0.4254,1.25,0.52,-0.15,0,30
1,1.14,40,32,28672,0.173,0.2707,42.414,52.5465,-1.43,0.5924,0.344,65.4811,58.1517,50.406,-1.4665,1.25,0.52,-0.15,0,600
1,1.14,40,32,10287,-0.1096,0.2925,38.5676,49.612,-0.1576,-0.8282,0.4432,39.8371,52.9934,37.8792,-0.63,1.25,0.52,-0.15,0,340
1,1.14,40,32,28101,-0.2897,0.2913,35.8936,47.7429,-1.43,0.2873,0.3775,60.1798,49.5828,47.7156,-1.2745,1.25,0.52,-0.15,0,650
1,1.14,40,32,25154,-0.1954,0.2866,37.3127,48.7216,-0.4302,0.3906,0.3542,61.9944,51.378,48.6267,-0.5786,1.25,0.52,-0.15,0,650
1,1.14,40,32,21214,-0.9132,0.2504,26.8491,41.2704,0.4604,-1.0545,0.4307,36.4971,38.5237,35.8835,0.498,1.25,0.52,-0.15,0,425
1,1.14,40,32,29256,-0.4811,0.2698,32.9469,45.7555,0.2988,-1.5237,0.5272,31.0278,45.9342,31.746,0.9025,1.25,0.52,-0.15,0,NA
1,1.14,40,32,26804,-1.0742,0.2447,24.9588,39.5984,-0.6861,0.4026,0.3866,62.2034,36.2287,48.7322,0.4181,1.25,0.52,-0.15,0,NA
1,1.14,40,32,18478,-0.4013,0.2647,34.1786,46.5839,-0.3118,2.0438,0.2514,90.2217,47.4487,63.2056,0.1108,1.25,0.52,-0.15,0,20
2,1.48,40,20,23353,1.8332,0.2209,62.0811,69.7816,2.0682,2.212035862,NA,NA,NA,NA,NA,0.79,1.56,1.15,1.1,90
2,1.48,40,20,11225,1.729,0.2189,60.9541,68.6999,0.942,2.106850914,NA,NA,NA,NA,NA,0.79,1.56,1.15,1.1,300
2,1.48,40,20,19015,0.4106,0.2454,45.4016,55.0124,0.4521,1.2938,0.2885,77.2576,62.343,56.5914,0.0468,0.79,1.56,1.15,1.1,70
2,1.48,40,20,15895,1.2817,0.2233,55.8371,64.0563,0.4891,0.7449,0.2862,68.066,77.0531,51.7515,0.4814,0.79,1.56,1.15,1.1,550
2,1.48,40,20,13703,0.9885,0.2411,52.3763,61.0118,1.9252,2.0565,0.2448,90.428,72.1362,63.3175,1.2829,0.79,1.56,1.15,1.1,230
2,1.48,40,20,13365,0.151,0.2587,42.1288,52.318,1.412,0.513934902,NA,NA,NA,NA,NA,0.79,1.56,1.15,1.1,NA
2,1.48,40,20,22222,-0.2061,0.2528,37.1531,48.6102,-0.2674,0.153459422,NA,NA,NA,NA,NA,0.79,1.56,1.15,1.1,100
2,1.48,40,20,13634,-0.3558,0.2599,34.8813,47.0568,0.0298,0.002344386,NA,NA,NA,NA,NA,0.79,1.56,1.15,1.1,300
2,1.48,40,20,24474,2.0985,0.2325,64.7117,72.5358,1.3805,2.479843605,NA,NA,NA,NA,NA,0.79,1.56,1.15,1.1,400
2,1.48,40,20,33556,1.9611,0.2391,63.3997,71.109,1.3393,2.0381,0.2557,90.1276,88.8509,63.1547,1.2802,0.79,1.56,1.15,1.1,450
2,1.48,40,20,23938,0.2832,0.2534,43.8172,53.6906,1.8231,0.8747,0.3104,70.2396,60.1084,52.8959,1.7978,0.79,1.56,1.15,1.1,160
2,1.48,40,20,26198,1.3948,0.2359,57.1557,65.23,1.0352,2.0553,0.2653,90.4082,78.9813,63.3067,1.1447,0.79,1.56,1.15,1.1,550
2,1.48,40,20,32978,1.4013,0.2347,57.231,65.2973,0.7814,1.776053337,NA,NA,NA,NA,NA,0.79,1.56,1.15,1.1,500
2,1.48,40,20,27117,-0.0824,0.2358,38.9575,49.8947,0.7961,-0.4106,0.3859,47.2718,53.5014,41.5614,0.8447,0.79,1.56,1.15,1.1,500
2,1.48,40,20,33399,0.5043,0.2396,46.5522,55.9857,-0.1565,0.870574463,NA,NA,NA,NA,NA,0.79,1.56,1.15,1.1,NA
2,1.48,40,20,30266,1.5997,0.2712,59.509,67.3572,1.6922,1.976328709,NA,NA,NA,NA,NA,0.79,1.56,1.15,1.1,30
2,1.48,40,20,28650,1.673,0.2269,60.3334,68.1183,2.0868,2.2513,0.2648,93.4537,83.8389,65.0348,1.8992,0.79,1.56,1.15,1.1,130
2,1.48,40,20,11408,1.6138,0.2532,59.6683,67.5034,0.3887,1.9206,0.3,88.1641,82.7941,62.1185,1.2878,0.79,1.56,1.15,1.1,NA
2,1.48,40,20,10212,2.6867,0.3251,68.7085,78.6415,1.9172,3.1169,0.2544,104.859,99.4812,72.6682,1.404,0.79,1.56,1.15,1.1,270
2,1.48,40,20,34091,-0.6765,0.1958,30.0177,43.7269,1.3449,-0.321387024,NA,NA,NA,NA,1.2434,0.79,1.56,1.15,1.1,400
3,1.69,40,39,20163,0.8288,0.2461,50.4732,59.3548,0.5794,1.877446297,NA,NA,NA,NA,NA,1.16,0.8,-1.38,-0.1,280
3,1.69,40,39,29707,1.3304,0.2465,56.4061,64.5616,1.6922,1.372,0.2623,78.5898,77.8801,57.2807,0.4002,1.16,0.8,-1.38,-0.1,NA
3,1.69,40,39,21941,1.8571,0.2273,62.333,70.0291,1.4258,2.673,0.2596,99.3027,87.0718,68.754,1.4582,1.16,0.8,-1.38,-0.1,425
3,1.69,40,39,16993,0.4668,0.3639,46.0934,55.5966,0.9351,2.6438,0.2576,98.9192,63.3212,68.4964,1.4976,1.16,0.8,-1.38,-0.1,20
3,1.69,40,39,18994,0.7306,0.257,49.2942,58.3348,0.5048,1.3124,0.2759,77.5737,67.8246,56.7556,0.6101,1.16,0.8,-1.38,-0.1,190
3,1.69,40,39,16777,0.4943,0.3261,46.4304,55.8822,1.409,1.4365,0.2281,79.6998,63.7974,57.85,1.6479,1.16,0.8,-1.38,-0.1,320
3,1.69,40,39,17309,-0.5737,0.1797,31.5345,44.7944,1.7484,2.1302,0.255,91.6035,44.2104,63.9673,1.6784,1.16,0.8,-1.38,-0.1,320
3,1.69,40,39,20286,0.0404,0.2583,40.6632,51.1702,1.2066,3.0069,0.2638,103.527,55.7627,71.698,1.2542,1.16,0.8,-1.38,-0.1,30
3,1.69,40,39,15666,-0.0481,0.4316,39.4427,50.251,0.7523,0.2233,0.4074,59.0469,54.1382,47.1514,0.8112,1.16,0.8,-1.38,-0.1,70
3,1.69,40,39,19443,-0.0023,0.2378,40.08,50.7267,1.7484,2.2774,0.2574,93.8412,54.9822,65.2655,1.4543,1.16,0.8,-1.38,-0.1,40
3,1.69,40,39,15023,1.1214,0.2317,53.9513,62.3919,0.214,2.9518,0.2519,102.849,74.3553,71.2125,0.4881,1.16,0.8,-1.38,-0.1,70
3,1.69,40,39,16236,1.5178,0.2175,58.5758,66.5072,1.5475,2.7889,0.2893,100.801,81.1112,69.7761,1.36,1.16,0.8,-1.38,-0.1,NA
3,1.69,40,39,33041,0.0952,0.2613,41.3961,51.7384,1.0807,1.0579,0.3258,73.2945,56.7546,54.5114,1.1266,1.16,0.8,-1.38,-0.1,NA
3,1.69,40,39,19936,0.3475,0.3532,44.6213,54.3582,0.2637,2.6585,0.2815,99.1125,61.2405,68.626,1.9113,1.16,0.8,-1.38,-0.1,NA
3,1.69,40,39,21853,1.0983,0.2395,53.6784,62.1522,0.7961,1.104,0.2459,74.0649,73.9692,54.9181,1.1761,1.16,0.8,-1.38,-0.1,NA
3,1.69,40,39,23597,0.7381,0.2759,49.3846,58.4127,2.0465,1.9931,0.2519,89.3854,67.951,62.7577,1.9951,1.16,0.8,-1.38,-0.1,340
3,1.69,40,39,13091,0.422,0.2891,45.5429,55.1314,-0.01,2.2076,0.2499,92.7973,62.5428,64.6496,0.2791,1.16,0.8,-1.38,-0.1,210
3,1.69,40,39,12588,0.7518,0.2492,49.5491,58.5548,1.9387,1.8294,0.2616,86.5908,68.1812,61.3148,1.56,1.16,0.8,-1.38,-0.1,650
3,1.69,40,39,12816,0.1817,0.2993,42.526,52.6366,1.8918,1.0503,0.2704,73.1679,58.3067,54.4445,1.0294,1.16,0.8,-1.38,-0.1,NA
